"","Dataset","caretRidgeRF","forestry","ranger","glmnet","local_RF","cubist"
"1","Friedman_1",1,NA,NA,NA,NA,NA
"2","Friedman_2",2,NA,NA,NA,NA,NA
"3","Friedman_3",3,NA,NA,NA,NA,NA
"4","Boston_Housing_fold1",NA,NA,NA,NA,NA,NA
"5","Boston_Housing_fold2",NA,NA,NA,NA,NA,NA
"6","Boston_Housing_fold3",NA,NA,NA,NA,NA,NA
"7","Boston_Housing_fold4",NA,NA,NA,NA,NA,NA
"8","Boston_Housing_fold5",NA,NA,NA,NA,NA,NA
"9","Ozone_fold1",NA,NA,NA,NA,NA,NA
"10","Ozone_fold2",NA,13.8489386786294,NA,NA,NA,NA
"11","Ozone_fold3",NA,15.2395706803039,NA,NA,NA,NA
"12","Ozone_fold4",NA,17.7166713185259,NA,NA,NA,NA
"13","Ozone_fold5",NA,19.3075578081967,NA,NA,NA,NA
"14","Servo_fold1",NA,0.579210563070575,NA,NA,NA,NA
"15","Servo_fold2",NA,NA,NA,NA,NA,NA
"16","Servo_fold3",NA,NA,NA,NA,NA,NA
"17","Servo_fold4",NA,NA,NA,NA,NA,NA
"18","Servo_fold5",NA,NA,NA,NA,NA,NA
"19","Abalone",NA,NA,NA,NA,NA,NA
"20","autos",NA,NA,NA,NA,NA,NA
"21","bike",NA,NA,NA,NA,NA,NA
